23_02_06_1_ao_4.csv;;;;;Em amarelo s�o os pontos de aquisi��o de temperatura;;;;;;;;;;
44963,33958;;;;;Em verde s�o os pontos de aquisi��o de press�o;;;;;;;;;;
;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;
TIME;" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""DIO""";" ""TOTAL""";" ""ALARM1""";" ""ALARM2"""
04TIME;" ""0412""";" ""0402""";" ""0403""";" ""0404""";" ""0405""";" ""0406""";" ""0407""";" ""0408""";" ""0409""";" ""0410""";" ""0417""";" ""04DIO""";" ""04TOTAL""";" ""04ALARM1""";" ""04ALARM2"""
44897,32094;20,9959;20,9876;21,5881;21,5667;21,844;22,1336;240,902;239,212;203,861;242,415;248,99;255;0;0;0
44897,32097;20,9996;20,9944;21,5833;21,564;21,8477;22,1343;239,198;241,676;203,857;240,298;250,095;255;0;0;0
44897,32099;20,9988;20,9922;21,5858;21,5711;21,8553;22,1348;239,229;240,402;203,833;240,398;251,464;255;0;0;0
44897,32101;21,0065;20,9884;21,5895;21,5685;21,8437;22,1341;240,742;240,398;203,833;240,191;250,487;255;0;0;0
44897,32103;21,0056;20,9822;21,5831;21,566;21,8513;22,1414;239,422;237,85;203,856;239,926;252,544;255;0;0;0
44897,32105;21,0003;20,9851;21,5828;21,5646;21,8504;22,1357;241,155;240,039;203,846;241,663;250,599;255;0;0;0
44897,32107;21,0036;20,9827;21,5854;21,5652;21,851;22,1387;238,308;241,483;203,852;241,285;248,367;255;0;0;0
44897,32109;21,0074;20,9862;21,5842;21,5631;21,8438;22,1385;240,381;240,353;203,864;242,4;252,06;255;0;0;0
44897,32112;21,0106;20,9889;21,5836;21,5648;21,843;22,1443;241,132;238,846;203,863;241,205;249,803;255;0;0;0
44897,32114;21,0027;20,9882;21,5916;21,567;21,8483;22,1359;241,335;238,363;203,857;240,484;249,67;255;0;0;0
44897,32116;20,9939;20,9893;21,5903;21,5659;21,8502;22,1382;241,396;238,189;203,846;240,341;246,031;255;0;0;0
44897,32118;20,9989;20,9929;21,5919;21,5687;21,8555;22,1422;241,606;239,512;203,854;239,485;249,34;255;0;0;0
44897,3212;21,0002;20,9896;21,5947;21,5714;21,8533;22,1461;240,874;240,25;203,848;241,338;249,392;255;0;0;0
44897,32122;21,0029;20,984;21,5882;21,5689;21,8533;22,1476;238,009;239,976;203,85;240,756;251,178;255;0;0;0
44897,32124;20,9993;20,9958;21,5858;21,5675;21,8533;22,1423;240,468;237,857;203,854;242,507;251,13;255;0;0;0
44897,32127;21,0064;20,9915;21,5911;21,5739;21,8546;22,1524;239,963;241,476;203,873;242,979;248,156;255;0;0;0
44897,32129;21,0052;20,989;21,5964;21,5638;21,8468;22,1504;240,215;239,591;203,857;241,762;249,399;255;0;0;0
44897,32131;21,0007;20,9811;21,5868;21,566;21,842;22,1454;238,364;240,475;203,842;241,376;249,727;255;0;0;0
44897,32133;21,0006;20,9865;21,5855;21,5714;21,8439;22,1411;240,841;241,327;203,856;240,671;250,517;255;0;0;0
44897,32135;20,999;20,9852;21,5834;21,5642;21,8522;22,1541;239,676;240,25;203,854;240,315;249,118;255;0;0;0
44897,32137;21,0055;20,987;21,586;21,5691;21,8471;22,1443;240,041;239,777;203,846;241,713;249,349;255;0;0;0
44897,32139;21,0051;20,9865;21,5884;21,5703;21,8486;22,1489;240,38;237,58;203,869;240,522;250,88;255;0;0;0
44897,32142;21,0009;20,9939;21,5927;21,5741;21,856;22,1547;240,098;238,03;203,866;241,661;250,291;255;0;0;0
44897,32144;21,0059;20,992;21,5972;21,5733;21,8552;22,1578;241,308;240,116;203,871;240,615;250,892;255;0;0;0
44897,32146;21,0047;20,9955;21,5995;21,576;21,8601;22,1569;239,833;240,482;203,861;237,997;249,975;255;0;0;0
44897,32148;21,0027;21,0027;21,6044;21,578;21,8614;22,1544;240,122;238,119;203,861;238,301;249,914;255;0;0;0
44897,3215;21,0031;21,0014;21,6085;21,5922;21,8713;22,1607;239,726;239,826;203,868;239,612;250,212;255;0;0;0
44897,32152;21,0063;21,0091;21,6065;21,5807;21,8573;22,1595;240,55;239,037;203,869;241,198;252,041;255;0;0;0
44897,32154;21,0048;20,9955;21,5942;21,581;21,8603;22,1588;240,815;240,018;203,865;241,243;246,901;255;0;0;0
44897,32156;21,0066;20,9972;21,5996;21,575;21,8545;22,1537;237,977;241,491;203,864;240,198;250,487;255;0;0;0
44897,32159;21,0041;20,9993;21,602;21,578;21,8582;22,1531;240,558;238,926;203,879;241,911;250,152;255;0;0;0
44897,32161;21,0039;21,0118;21,6086;21,5875;21,8613;22,1584;238,116;238,182;203,872;242,325;249,888;255;0;0;0
44897,32163;21,0086;21,0033;21,6052;21,5852;21,8694;22,162;238,119;240,62;203,87;241,605;250,78;255;0;0;0
44897,32165;20,9958;21,007;21,611;21,5828;21,8638;22,1576;238,785;240,443;203,86;243,614;249,848;255;0;0;0
44897,32167;20,9946;21,0062;21,6098;21,5875;21,8707;22,1567;240,916;240,418;203,87;241,902;251,507;255;0;0;0
44897,32169;20,9939;20,9962;21,6005;21,5774;21,8615;22,1512;239,484;239,453;203,863;236,034;248,654;255;0;0;0
44897,32171;20,9949;21,0007;21,5967;21,6034;21,8531;22,145;239,489;239,103;203,861;238,633;247,955;255;0;0;0
