Valor 1 : Tensão efectiva T3 (0s) [Dispositivo-2]
Número;Tempo;Valor 1-avg[V];Valor 1-min[V];Valor 1-max[V];
476;06/12/22 10:41:19'252;218,627;;;
477;06/12/22 10:41:19'892;218,677;;;
478;06/12/22 10:41:20'372;218,622;;;
479;06/12/22 10:41:20'852;218,675;;;
480;06/12/22 10:41:21'331;218,666;;;
481;06/12/22 10:41:21'811;218,634;;;
482;06/12/22 10:41:22'291;218,615;;;
483;06/12/22 10:41:22'771;218,624;;;
484;06/12/22 10:41:23'250;218,722;;;
485;06/12/22 10:41:23'731;218,690;;;
486;06/12/22 10:41:25'352;218,651;;;
487;06/12/22 10:41:25'859;218,611;;;
488;06/12/22 10:41:26'339;218,749;;;
489;06/12/22 10:41:26'659;218,598;;;
490;06/12/22 10:41:27'139;218,707;;;
491;06/12/22 10:41:27'458;218,714;;;
492;06/12/22 10:41:27'938;218,781;;;
493;06/12/22 10:41:28'258;218,704;;;
494;06/12/22 10:41:28'738;218,703;;;
495;06/12/22 10:41:29'218;218,694;;;
496;06/12/22 10:41:29'698;218,680;;;
497;06/12/22 10:41:30'178;218,744;;;
498;06/12/22 10:41:30'658;218,671;;;
499;06/12/22 10:41:31'139;218,665;;;
500;06/12/22 10:41:31'458;218,731;;;
501;06/12/22 10:41:31'938;218,676;;;
502;06/12/22 10:41:32'418;218,758;;;
503;06/12/22 10:41:33'058;218,754;;;
504;06/12/22 10:41:33'538;218,776;;;
505;06/12/22 10:41:34'017;218,727;;;
506;06/12/22 10:41:34'497;218,777;;;
507;06/12/22 10:41:34'977;218,732;;;
508;06/12/22 10:41:35'457;218,724;;;
509;06/12/22 10:41:35'937;218,680;;;
510;06/12/22 10:41:36'417;218,700;;;
511;06/12/22 10:41:37'057;218,799;;;
512;06/12/22 10:41:37'537;218,684;;;
513;06/12/22 10:41:38'017;218,739;;;
514;06/12/22 10:41:38'337;218,782;;;
515;06/12/22 10:41:38'817;218,722;;;
516;06/12/22 10:41:39'297;218,763;;;
517;06/12/22 10:41:39'776;218,805;;;
518;06/12/22 10:41:40'256;218,717;;;
519;06/12/22 10:41:40'896;218,712;;;
520;06/12/22 10:41:41'376;218,699;;;
521;06/12/22 10:41:41'856;218,684;;;
522;06/12/22 10:41:42'496;218,720;;;
523;06/12/22 10:41:42'976;218,648;;;
524;06/12/22 10:41:43'456;218,715;;;
525;06/12/22 10:41:44'096;218,638;;;
526;06/12/22 10:41:44'576;218,646;;;
527;06/12/22 10:41:45'056;218,679;;;
528;06/12/22 10:41:45'375;218,668;;;
529;06/12/22 10:41:45'855;218,667;;;
530;06/12/22 10:41:46'175;218,693;;;
531;06/12/22 10:41:46'655;218,701;;;
532;06/12/22 10:41:47'135;218,742;;;
533;06/12/22 10:41:47'615;218,729;;;
534;06/12/22 10:41:48'095;218,684;;;
535;06/12/22 10:41:48'735;218,693;;;
536;06/12/22 10:41:49'215;218,548;;;
537;06/12/22 10:41:49'695;218,651;;;
