22_12_13_1_ao_4.csv;;;;;;;;;;;;;;;
13/12/2022 08:04;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;
TIME;" ""°C""";" ""°C""";" ""°C""";" ""°C""";" ""°C""";" ""°C""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""DIO""";" ""TOTAL""";" ""ALARM1""";" ""ALARM2"""
04TIME;" ""0401""";" ""0402""";" ""0403""";" ""0404""";" ""0405""";" ""0406""";" ""0407""";" ""0408""";" ""0409""";" ""0410""";" ""0417""";" ""04DIO""";" ""04TOTAL""";" ""04ALARM1""";" ""04ALARM2"""
44908,33984;20,4932;20,2347;20,2512;19,9077;20,1055;22,0842;239,637;240,706;238,995;-1,50481;250,231;255;0;0;0
44908,33986;20,504;20,2332;20,2578;19,9138;20,1087;22,088;241,279;244,212;239,366;-1,49755;248,894;255;0;0;0
44908,33988;20,5027;20,2341;20,2567;19,922;20,1118;22,0728;241,341;243,592;240,812;-1,50396;251,288;255;0;0;0
44908,3399;20,51;20,2388;20,2606;19,9204;20,1138;22,0653;240,143;242,422;241,904;-1,48894;249,284;255;0;0;0
44908,33993;20,5091;20,2374;20,2571;19,9194;20,1152;22,0634;240,657;244,08;239,686;-1,50974;252,299;255;0;0;0
44908,33995;20,5093;20,2417;20,259;19,9217;20,1125;22,0588;241,139;242,46;238,093;-1,5014;248,033;255;0;0;0
44908,33997;20,5009;20,2348;20,2615;19,9174;20,111;22,0566;241,22;242,952;240,387;-1,492;250,07;255;0;0;0
44908,33999;20,4999;20,2262;20,2512;19,9112;20,1039;22,0445;239,896;241,986;241,949;-1,50091;250,916;255;0;0;0
44908,34001;20,5021;20,2266;20,2436;19,9154;20,0971;22,0472;240,099;241,903;239,446;-1,50756;250,171;255;0;0;0
44908,34003;20,494;20,2258;20,249;19,905;20,1052;22,0416;239,826;241,321;240,809;-1,5093;248,051;255;0;0;0
44908,34005;20,4938;20,2305;20,2448;19,9093;20,106;22,0452;240,622;241,979;242,98;-1,49907;250,156;255;0;0;0
44908,34008;20,4942;20,2296;20,2481;19,9103;20,1069;22,0423;240,592;241,698;240,058;-1,50836;250,173;255;0;0;0
44908,3401;20,4954;20,23;20,251;19,9085;20,1013;22,0481;241,649;244,577;239,97;-1,50204;247,265;255;0;0;0
44908,34012;20,5077;20,2341;20,2493;19,9203;20,1071;22,0491;240,852;242,899;240,781;-1,50403;248,037;255;0;0;0
44908,34014;20,5033;20,2334;20,2513;19,9148;20,1053;22,0556;241,067;243,64;241,628;-1,4964;249,955;255;0;0;0
44908,34016;20,5071;20,2295;20,2533;19,9182;20,1082;22,0558;241,381;243,538;241,366;-1,50474;250,265;255;0;0;0
